Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
1,1,2015-10-28,30-175,LAC,@,SAC,W (+7),1,36:34,6,14,.429,1,4,.250,5,6,.833,0,5,5,11,2,0,2,1,18,19.0,+15,45.8
2,2,2015-10-29,30-176,LAC,,DAL,W (+16),1,24:22,3,8,.375,1,4,.250,2,2,1.000,0,3,3,5,1,0,0,1,9,9.6,+15,22.8
3,3,2015-10-31,30-178,LAC,,SAC,W (+5),1,38:28,5,13,.385,1,5,.200,6,8,.750,0,6,6,11,1,0,5,2,17,13.8,+19,42.5
4,4,2015-11-02,30-180,LAC,,PHO,W (+6),1,30:47,7,15,.467,1,2,.500,2,2,1.000,0,3,3,5,1,0,5,3,17,8.5,-4,28.3
5,5,2015-11-04,30-182,LAC,@,GSW,L (-4),1,30:53,9,15,.600,1,3,.333,5,7,.714,0,3,3,9,3,0,2,4,24,22.9,-2,46.8
6,,2015-11-07,30-185,LAC,,HOU,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,6,2015-11-09,30-187,LAC,,MEM,W (+2),1,32:40,4,10,.400,1,4,.250,5,6,.833,1,3,4,4,1,0,4,5,14,7.6,+9,25.5
8,7,2015-11-11,30-189,LAC,@,DAL,L (-10),1,34:33,2,11,.182,1,3,.333,6,7,.857,0,1,1,11,0,0,2,2,11,8.9,-12,29.8
9,,2015-11-12,30-190,LAC,@,PHO,L (-14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,,2015-11-14,30-192,LAC,,DET,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,8,2015-11-19,30-197,LAC,,GSW,L (-7),1,31:30,13,22,.591,5,9,.556,4,4,1.000,0,4,4,8,3,0,3,2,35,30.8,-6,59.0
12,9,2015-11-20,30-198,LAC,@,POR,L (-11),1,28:31,4,12,.333,1,4,.250,2,2,1.000,0,2,2,8,1,0,2,3,11,8.2,-18,27.0
13,10,2015-11-22,30-200,LAC,,TOR,L (-11),1,33:23,5,13,.385,1,4,.250,2,2,1.000,2,3,5,11,2,0,3,5,13,12.9,-15,40.3
14,11,2015-11-24,30-202,LAC,@,DEN,W (+17),1,28:07,6,11,.545,0,0,,3,4,.750,0,2,2,10,3,0,0,1,15,19.5,+21,40.0
15,12,2015-11-25,30-203,LAC,,UTA,L (-11),1,34:56,10,15,.667,2,2,1.000,2,2,1.000,2,3,5,8,3,0,2,3,24,25.2,-6,48.3
16,13,2015-11-27,30-205,LAC,,NOP,W (+21),1,28:36,5,11,.455,1,4,.250,6,7,.857,0,5,5,8,2,0,0,1,17,19.6,+26,39.8
17,14,2015-11-29,30-207,LAC,,MIN,W (+8),1,31:33,7,12,.583,0,1,.000,6,6,1.000,0,2,2,9,0,0,4,2,20,16.5,+7,34.0
18,15,2015-11-30,30-208,LAC,,POR,W (+15),1,24:05,3,11,.273,0,1,.000,4,4,1.000,2,1,3,6,2,0,4,1,10,7.0,+13,24.8
19,,2015-12-02,30-210,LAC,,IND,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,,2015-12-05,30-213,LAC,,ORL,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
21,16,2015-12-07,30-215,LAC,@,MIN,W (+4),1,31:38,5,14,.357,1,2,.500,3,3,1.000,0,1,1,5,4,0,5,4,14,7.4,+7,28.8
22,17,2015-12-09,30-217,LAC,@,MIL,W (+14),1,37:48,7,13,.538,2,4,.500,2,2,1.000,0,3,3,18,0,0,2,4,18,21.6,+25,50.3
23,18,2015-12-10,30-218,LAC,@,CHI,L (-3),1,30:49,5,16,.313,2,4,.500,0,0,,0,0,0,5,1,0,4,3,12,2.1,+8,20.5
24,19,2015-12-12,30-220,LAC,@,BRK,W (+5),1,31:15,6,15,.400,0,4,.000,3,3,1.000,0,2,2,14,3,0,3,2,15,16.5,+1,44.5
25,20,2015-12-14,30-222,LAC,@,DET,W (+2),1,37:58,6,16,.375,0,2,.000,1,1,1.000,1,4,5,12,2,0,3,5,13,11.5,+13,41.3
26,21,2015-12-16,30-224,LAC,,MIL,W (+13),1,33:12,7,12,.583,3,4,.750,4,4,1.000,0,6,6,8,2,0,4,1,21,20.4,+14,44.0
27,22,2015-12-18,30-226,LAC,@,SAS,L (-8),1,34:22,8,14,.571,2,5,.400,9,10,.900,1,1,2,10,3,0,2,5,27,27.0,+5,52.0
28,23,2015-12-19,30-227,LAC,@,HOU,L (-10),1,31:22,3,13,.231,2,7,.286,4,5,.800,0,1,1,10,7,0,2,2,12,15.2,-1,43.8
29,24,2015-12-21,30-229,LAC,,OKC,L (-1),1,35:58,11,19,.579,4,6,.667,6,6,1.000,1,4,5,10,2,0,2,3,32,30.8,-4,59.8
30,25,2015-12-25,30-233,LAC,@,LAL,W (+10),1,34:55,11,19,.579,0,3,.000,1,1,1.000,0,5,5,6,3,0,1,2,23,21.0,+17,43.8
31,26,2015-12-26,30-234,LAC,@,UTA,W (+5),1,35:33,7,14,.500,1,1,1.000,4,4,1.000,1,1,2,11,2,0,1,4,19,20.1,+7,43.5
32,27,2015-12-28,30-236,LAC,@,WAS,W (+17),1,27:27,9,20,.450,1,5,.200,4,4,1.000,1,4,5,7,0,0,2,1,23,17.0,+10,39.3
33,28,2015-12-30,30-238,LAC,@,CHO,W (+5),1,30:16,4,13,.308,0,3,.000,11,12,.917,3,2,5,11,1,1,5,2,19,17.4,-4,44.8
34,29,2015-12-31,30-239,LAC,@,NOP,W (+6),1,32:36,3,18,.167,0,4,.000,3,4,.750,1,4,5,12,2,0,3,0,9,6.5,+13,35.8
35,30,2016-01-02,30-241,LAC,,PHI,W (+31),1,26:02,4,12,.333,1,4,.250,6,6,1.000,0,5,5,14,1,0,2,2,15,17.7,+22,45.3
36,31,2016-01-06,30-245,LAC,@,POR,W (+11),1,35:35,9,19,.474,0,3,.000,3,4,.750,1,3,4,19,1,0,3,4,21,22.2,+15,56.5
37,32,2016-01-09,30-248,LAC,,CHO,W (+14),1,31:13,11,19,.579,3,5,.600,0,0,,1,6,7,7,2,1,5,4,25,19.6,+21,49.3
38,33,2016-01-10,30-249,LAC,,NOP,W (+3),1,40:00,10,18,.556,3,4,.750,2,4,.500,1,4,5,11,3,1,2,5,25,24.9,+9,57.8
39,34,2016-01-13,30-252,LAC,,MIA,W (+14),1,30:28,6,17,.353,2,3,.667,1,2,.500,2,4,6,12,4,1,1,1,15,19.4,+14,52.5
40,35,2016-01-16,30-255,LAC,,SAC,L (-7),1,27:12,4,11,.364,3,5,.600,4,4,1.000,0,4,4,7,1,0,4,5,15,10.0,+1,32.0
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
41,36,2016-01-18,30-257,LAC,,HOU,W (+8),1,42:31,8,15,.533,5,7,.714,7,9,.778,0,6,6,12,6,1,5,4,28,30.2,+14,69.0
